50 3 7
-0.063274 0.027734 0.022683 1
-0.000731 0.048211 0.069198 1
-0.060767 -0.00908 0.053085 1
0.013252 -0.011876 0.055324 1
-0.054508 -0.003813 0.001738 1
0.02418 0.068275 0.033462 1
-0.029308 0.059849 -0.06326 1
-0.016453 0.013881 -0.013236 1
2.418463 0.490127 0.033581 2
2.805184 0.769746 -0.557435 2
2.983722 -0.983118 -0.165216 2
3.055291 -0.477796 0.370524 2
3.015527 -0.666039 0.126169 2
2.449981 0.175666 -0.531892 2
3.199806 0.201051 0.58676 2
-2.69712 0.342837 0.296855 3
-2.57583 -0.752408 -0.225828 3
-3.308062 0.919403 -0.091698 3
-3.970394 -0.017968 0.097194 3
-3.332026 -0.22133 -0.410873 3
-2.679173 0.521163 0.033068 3
-2.186732 -0.536953 -0.08933 3
0.498135 2.895371 0.786843 4
0.218436 3.067538 0.030236 4
0.135451 2.12925 0.320246 4
0.420118 3.055572 0.230617 4
0.659865 3.446317 -0.101455 4
0.619487 3.285343 0.278274 4
-0.294208 3.296888 -0.174357 4
-0.154151 -2.382802 -0.552876 5
0.042376 -3.013402 0.26318 5
0.76406 -2.974825 0.304909 5
0.273431 -3.549045 0.602433 5
0.109072 -2.872739 -0.972276 5
-0.609027 -2.316553 0.05604 5
0.563714 -2.668933 0.272222 5
-0.646687 -0.257803 2.879026 6
0.862612 -0.257097 3.339622 6
0.58395 0.25262 3.164447 6
-0.106313 0.539686 3.36243 6
-0.447773 -0.165269 2.395462 6
0.278688 -0.67851 3.019065 6
-0.499959 -0.102398 2.918835 6
-0.749873 0.616942 -2.862605 7
-0.108157 -0.083104 -3.909294 7
-0.410898 0.467216 -3.64399 7
0.662499 -0.378195 -2.900845 7
-0.057589 0.548771 -3.072026 7
0.64518 -0.276585 -2.877792 7
0.257191 0.114881 -2.929682 7
