50 3 4
1.295428 0.050829 -0.385217 1
1.409178 -0.035191 -0.25198 1
1.096803 0.246365 -0.415011 1
1.463328 0.265354 -0.513488 1
1.603284 0.080577 -0.470257 1
1.001833 -0.083266 -0.681399 1
1.517445 0.286702 -0.547891 1
1.617901 -0.158504 -0.301126 1
1.083162 -0.371103 -0.358668 1
1.669991 0.0866 -0.280595 1
1.457644 -0.401268 -0.407497 1
0.914329 0.242193 -0.310915 1
1.643737 0.153696 -0.241876 1
-0.609828 1.150829 -0.385217 2
-0.496078 1.064809 -0.25198 2
-0.808453 1.346365 -0.415011 2
-0.441928 1.365354 -0.513488 2
-0.301972 1.180577 -0.470257 2
-0.903423 1.016734 -0.681399 2
-0.387811 1.386702 -0.547891 2
-0.287355 0.941496 -0.301126 2
-0.822094 0.728897 -0.358668 2
-0.235265 1.1866 -0.280595 2
-0.447612 0.698732 -0.407497 2
-0.990926 1.342193 -0.310915 2
-0.261519 1.253696 -0.241876 2
-0.609828 -1.049171 -0.385217 3
-0.496078 -1.135191 -0.25198 3
-0.808453 -0.853635 -0.415011 3
-0.441928 -0.834646 -0.513488 3
-0.301972 -1.019423 -0.470257 3
-0.903423 -1.183266 -0.681399 3
-0.387811 -0.813298 -0.547891 3
-0.287355 -1.258504 -0.301126 3
-0.822094 -1.471103 -0.358668 3
-0.235265 -1.0134 -0.280595 3
-0.447612 -1.501268 -0.407497 3
-0.990926 -0.857807 -0.310915 3
-0.261519 -0.946304 -0.241876 3
0.025258 0.050829 1.411075 4
0.139007 -0.035191 1.544312 4
-0.173368 0.246365 1.381282 4
0.193157 0.265354 1.282804 4
0.333114 0.080577 1.326035 4
-0.268338 -0.083266 1.114893 4
0.247275 0.286702 1.248401 4
0.347731 -0.158504 1.495167 4
-0.187009 -0.371103 1.437625 4
0.39982 0.0866 1.515697 4
0.187473 -0.401268 1.388795 4
