50 3 2
-0.453 -0.891 0.023 1
0.653 -0.846 0.0211 1
0.398 0.913 -0.00139 1
0.0952 1.05 0.00628 1
0.524 -0.941 0.0378 1
-0.0263 1 0.0218 1
0.425 0.908 -0.0285 1
-0.991 -0.275 0.0511 1
-1.01 -0.0353 0.038 1
-0.73 -0.631 -0.0312 1
0.879 0.346 0.0439 1
-0.845 -0.459 0.0849 1
-0.385 0.921 0.00558 1
0.24 0.884 0.048 1
1.03 -0.26 0.0727 1
0.871 0.502 -0.0403 1
-1.02 -0.00556 0.0278 1
0.592 0.787 0.0361 1
0.297 0.946 0.00662 1
-0.832 -0.403 0.0542 1
0.607 -0.782 -0.0182 1
-0.712 -0.739 0.0125 1
-0.537 0.859 0.00197 1
-0.893 -0.42 -0.0108 1
0.0724 -0.913 0.0486 1
0.023 0.109 -0.453 2
0.0211 0.154 0.653 2
-0.00139 1.91 0.398 2
0.00628 2.05 0.0952 2
0.0378 0.0589 0.524 2
0.0218 2 -0.0263 2
-0.0285 1.91 0.425 2
0.0511 0.725 -0.991 2
0.038 0.965 -1.01 2
-0.0312 0.369 -0.73 2
0.0439 1.35 0.879 2
0.0849 0.541 -0.845 2
0.00558 1.92 -0.385 2
0.048 1.88 0.24 2
0.0727 0.74 1.03 2
-0.0403 1.5 0.871 2
0.0278 0.994 -1.02 2
0.0361 1.79 0.592 2
0.00662 1.95 0.297 2
0.0542 0.597 -0.832 2
-0.0182 0.218 0.607 2
0.0125 0.261 -0.712 2
0.00197 1.86 -0.537 2
-0.0108 0.58 -0.893 2
0.0486 0.0868 0.0724 2
