100 3 4
1.295428 0.050829 -0.385217 1
1.409178 -0.035191 -0.25198 1
1.096803 0.246365 -0.415011 1
1.463328 0.265354 -0.513488 1
1.603284 0.080577 -0.470257 1
1.001833 -0.083266 -0.681399 1
1.517445 0.286702 -0.547891 1
1.617901 -0.158504 -0.301126 1
1.083162 -0.371103 -0.358668 1
1.669991 0.0866 -0.280595 1
1.457644 -0.401268 -0.407497 1
0.914329 0.242193 -0.310915 1
1.643737 0.153696 -0.241876 1
1.595419 -0.310447 -0.368662 1
1.153698 -0.25427 -0.87687 1
1.524989 0.162923 -0.877225 1
1.247658 -0.333062 -0.037487 1
0.826074 -0.31543 -0.389405 1
0.877268 0.354988 -0.618269 1
0.809343 0.313444 -0.296642 1
1.546564 0.055433 0.057049 1
1.555207 0.48368 -0.659155 1
1.570894 -0.469775 -0.218926 1
0.9618 0.345034 -0.838026 1
0.948567 -0.327407 -0.020961 1
-0.609828 1.150829 -0.385217 2
-0.496078 1.064809 -0.25198 2
-0.808453 1.346365 -0.415011 2
-0.441928 1.365354 -0.513488 2
-0.301972 1.180577 -0.470257 2
-0.903423 1.016734 -0.681399 2
-0.387811 1.386702 -0.547891 2
-0.287355 0.941496 -0.301126 2
-0.822094 0.728897 -0.358668 2
-0.235265 1.1866 -0.280595 2
-0.447612 0.698732 -0.407497 2
-0.990926 1.342193 -0.310915 2
-0.261519 1.253696 -0.241876 2
-0.309837 0.789553 -0.368662 2
-0.751558 0.84573 -0.87687 2
-0.380266 1.262923 -0.877225 2
-0.657598 0.766938 -0.037487 2
-1.079182 0.78457 -0.389405 2
-1.027988 1.454988 -0.618269 2
-1.095913 1.413444 -0.296642 2
-0.358692 1.155433 0.057049 2
-0.350049 1.58368 -0.659155 2
-0.334362 0.630225 -0.218926 2
-0.943456 1.445034 -0.838026 2
-0.956689 0.772593 -0.020961 2
-0.609828 -1.049171 -0.385217 3
-0.496078 -1.135191 -0.25198 3
-0.808453 -0.853635 -0.415011 3
-0.441928 -0.834646 -0.513488 3
-0.301972 -1.019423 -0.470257 3
-0.903423 -1.183266 -0.681399 3
-0.387811 -0.813298 -0.547891 3
-0.287355 -1.258504 -0.301126 3
-0.822094 -1.471103 -0.358668 3
-0.235265 -1.0134 -0.280595 3
-0.447612 -1.501268 -0.407497 3
-0.990926 -0.857807 -0.310915 3
-0.261519 -0.946304 -0.241876 3
-0.309837 -1.410447 -0.368662 3
-0.751558 -1.35427 -0.87687 3
-0.380266 -0.937077 -0.877225 3
-0.657598 -1.433062 -0.037487 3
-1.079182 -1.41543 -0.389405 3
-1.027988 -0.745012 -0.618269 3
-1.095913 -0.786556 -0.296642 3
-0.358692 -1.044567 0.057049 3
-0.350049 -0.61632 -0.659155 3
-0.334362 -1.569775 -0.218926 3
-0.943456 -0.754966 -0.838026 3
-0.956689 -1.427407 -0.020961 3
0.025258 0.050829 1.411075 4
0.139007 -0.035191 1.544312 4
-0.173368 0.246365 1.381282 4
0.193157 0.265354 1.282804 4
0.333114 0.080577 1.326035 4
-0.268338 -0.083266 1.114893 4
0.247275 0.286702 1.248401 4
0.347731 -0.158504 1.495167 4
-0.187009 -0.371103 1.437625 4
0.39982 0.0866 1.515697 4
0.187473 -0.401268 1.388795 4
-0.355841 0.242193 1.485378 4
0.373566 0.153696 1.554416 4
0.325248 -0.310447 1.42763 4
-0.116472 -0.25427 0.919423 4
0.254819 0.162923 0.919068 4
-0.022512 -0.333062 1.758806 4
-0.444097 -0.31543 1.406887 4
-0.392902 0.354988 1.178024 4
-0.460828 0.313444 1.499651 4
0.276393 0.055433 1.853342 4
0.285036 0.48368 1.137138 4
0.300723 -0.469775 1.577366 4
-0.30837 0.345034 0.958266 4
-0.321604 -0.327407 1.775331 4
