100 3 1
0 0 1 1
0 0.052336 0.99863 1
0.049774 0.016173 0.99863 1
0.030762 -0.042341 0.99863 1
-0.030762 -0.042341 0.99863 1
-0.049774 0.016173 0.99863 1
0 0.104528 0.994522 1
0.06144 0.084565 0.994522 1
0.099412 0.032301 0.994522 1
0.099412 -0.032301 0.994522 1
0.06144 -0.084565 0.994522 1
0 -0.104528 0.994522 1
-0.06144 -0.084565 0.994522 1
-0.099412 -0.032301 0.994522 1
-0.099412 0.032301 0.994522 1
-0.06144 0.084565 0.994522 1
0 0.156434 0.987688 1
0.063628 0.14291 0.987688 1
0.116253 0.104675 0.987688 1
0.148778 0.048341 0.987688 1
0.155578 -0.016352 0.987688 1
0.135476 -0.078217 0.987688 1
0.09195 -0.126558 0.987688 1
0.032525 -0.153016 0.987688 1
-0.032525 -0.153016 0.987688 1
-0.09195 -0.126558 0.987688 1
-0.135476 -0.078217 0.987688 1
-0.155578 -0.016352 0.987688 1
-0.148778 0.048341 0.987688 1
-0.116253 0.104675 0.987688 1
-0.063628 0.14291 0.987688 1
0 0.207912 0.978148 1
0.064248 0.197736 0.978148 1
0.122207 0.168204 0.978148 1
0.168204 0.122207 0.978148 1
0.197736 0.064248 0.978148 1
0.207912 0 0.978148 1
0.197736 -0.064248 0.978148 1
0.168204 -0.122207 0.978148 1
0.122207 -0.168204 0.978148 1
0.064248 -0.197736 0.978148 1
0 -0.207912 0.978148 1
-0.064248 -0.197736 0.978148 1
-0.122207 -0.168204 0.978148 1
-0.168204 -0.122207 0.978148 1
-0.197736 -0.064248 0.978148 1
-0.207912 0 0.978148 1
-0.197736 0.064248 0.978148 1
-0.168204 0.122207 0.978148 1
-0.122207 0.168204 0.978148 1
-0.064248 0.197736 0.978148 1
0 0.258819 0.965926 1
0.064366 0.250688 0.965926 1
0.124687 0.226805 0.965926 1
0.177174 0.188671 0.965926 1
0.218528 0.138682 0.965926 1
0.246152 0.079979 0.965926 1
0.258308 0.016251 0.965926 1
0.254235 -0.048498 0.965926 1
0.234186 -0.1102 0.965926 1
0.199424 -0.164977 0.965926 1
0.15213 -0.209389 0.965926 1
0.095278 -0.240644 0.965926 1
0.032439 -0.256778 0.965926 1
-0.032439 -0.256778 0.965926 1
-0.095278 -0.240644 0.965926 1
-0.15213 -0.209389 0.965926 1
-0.199424 -0.164977 0.965926 1
-0.234186 -0.1102 0.965926 1
-0.254235 -0.048498 0.965926 1
-0.258308 0.016251 0.965926 1
-0.246152 0.079979 0.965926 1
-0.218528 0.138682 0.965926 1
-0.177174 0.188671 0.965926 1
-0.124687 0.226805 0.965926 1
-0.064366 0.250688 0.965926 1
0 0.309017 0.951057 1
0.064248 0.302264 0.951057 1
0.125689 0.282301 0.951057 1
0.181636 0.25 0.951057 1
0.229644 0.206773 0.951057 1
0.267617 0.154508 0.951057 1
0.293893 0.095492 0.951057 1
0.307324 0.032301 0.951057 1
0.307324 -0.032301 0.951057 1
0.293893 -0.095492 0.951057 1
0.267617 -0.154508 0.951057 1
0.229644 -0.206773 0.951057 1
0.181636 -0.25 0.951057 1
0.125689 -0.282301 0.951057 1
0.064248 -0.302264 0.951057 1
0 -0.309017 0.951057 1
-0.064248 -0.302264 0.951057 1
-0.125689 -0.282301 0.951057 1
-0.181636 -0.25 0.951057 1
-0.229644 -0.206773 0.951057 1
-0.267617 -0.154508 0.951057 1
-0.293893 -0.095492 0.951057 1
-0.307324 -0.032301 0.951057 1
-0.307324 0.032301 0.951057 1
