100 3 2
-4.82249 -50.40217 4.020861 1
-44.46012 20.96467 -11.49206 1
50.00102 0.7807481 9.13446 1
-41.69908 -22.31006 16.31412 1
4.425242 -4.666664 50.22374 1
27.26058 23.38604 35.06772 1
-19.988 -6.638056 45.86818 1
47.5704 -1.571324 15.8721 1
41.8764 10.83021 24.64421 1
15.85935 14.686 44.09609 1
-33.77252 -36.60115 3.766672 1
3.218305 -44.84079 22.52914 1
4.31406 -2.829593 -50.04402 1
22.7331 -33.76487 28.55148 1
5.453126 4.356794 48.95405 1
6.473627 49.40687 0.3539394 1
-21.38691 44.32754 -9.408566 1
34.33926 -11.68791 34.82704 1
-2.538081 -40.3518 29.40645 1
14.16785 -35.62283 -32.61538 1
33.07119 -28.15823 -23.45108 1
-45.86114 2.049557 21.06677 1
-45.06056 16.24832 15.40648 1
11.35568 -8.953778 -49.02086 1
26.94642 -32.28738 25.70605 1
23.97626 43.49894 8.875034 1
-22.61322 1.12052 43.846 1
-46.64605 13.00358 14.79079 1
-43.8916 -18.32661 19.00224 1
-7.45989 -12.62892 -48.4261 1
48.77461 -10.88641 -0.9436041 1
-45.7206 -20.06 -9.225777 1
-31.63734 -22.73955 31.27342 1
-42.95419 22.21346 11.99868 1
0.7238982 -0.5390864 50.49664 1
-36.67465 -11.73224 31.75296 1
-26.96182 -42.71378 -4.202611 1
-12.54398 -44.17073 17.12193 1
-3.791277 10.2348 47.8953 1
-2.104881 -2.757672 49.14903 1
15.93932 -40.4724 22.66677 1
20.82794 22.35719 38.69671 1
34.87016 27.49711 20.86706 1
7.022449 10.49432 -48.06278 1
16.93301 -46.36226 -10.05664 1
48.95567 -9.864451 0.3758181 1
-10.47965 -23.89419 43.89176 1
-3.377526 -43.36406 -23.22464 1
-17.27796 39.43855 24.45212 1
-20.78939 44.21985 3.80786 1
0.6857508 0.882203 -0.8854096 2
0.211911 2.566241 4.355553 2
2.439457 2.259743 3.084992 2
5.971988 1.003704 2.859852 2
-2.646234 -2.439604 4.711721 2
-1.080572 1.800438 -3.650148 2
-0.1465547 1.11926 0.6701577 2
1.994454 1.20906 1.886642 2
-3.052135 5.57863 3.890948 2
1.801007 0.04444109 1.405029 2
2.314274 -1.492039 0.4027197 2
-0.5953394 -1.798263 3.080695 2
2.154614 -3.375758 1.969941 2
3.472002 -6.171456 4.908502 2
7.372167 -1.635844 -1.170528 2
3.706295 -2.422915 2.789299 2
-3.93839 0.2432051 2.127694 2
-4.051334 -0.99387 -0.4394743 2
-0.8531086 1.039651 2.009814 2
-2.838916 -4.764276 -0.6343368 2
0.4749569 -1.280334 2.969757 2
-1.474658 3.5688 -1.376201 2
1.969728 3.915431 0.7574453 2
-0.939271 0.8140218 -4.359775 2
7.361267 -1.438232 0.4968328 2
2.010779 -1.53542 -0.6623068 2
0.2196354 7.214851 0.48745 2
0.3656419 5.426153 -1.8866 2
-2.273953 -0.4099031 -4.951911 2
-2.389804 -4.922831 1.633307 2
5.022775 -1.923718 -2.293836 2
6.548579 5.189726 2.173688 2
-1.363253 1.107519 -1.807876 2
-4.743645 0.6285966 -4.060351 2
-1.009205 0.8447483 -4.389114 2
1.64609 2.341043 5.935584 2
-1.91998 -0.9656597 -2.265899 2
3.395606 0.3341458 -3.703464 2
-3.118424 -0.8117026 -2.579345 2
2.699059 1.217836 3.775685 2
2.336222 4.177088 2.855681 2
-1.838001 -2.447912 3.127455 2
2.208435 -2.749863 -0.4662627 2
-2.247011 -1.219582 1.979178 2
-3.249057 1.615225 -1.808627 2
3.699544 -2.479789 -1.165336 2
-2.78142 2.796381 -0.6005492 2
1.187184 2.394058 -0.3659764 2
2.643978 -1.123777 5.55275 2
3.735515 -5.618837 1.988665 2
